"Category (S)","Title (S)","ShortTitle (S)","ProductID (S)","Weight (N)","Price (N)","Discounted Price (N)","Image (S)","Description (S)","Catalog Weight (S)"
"Category 4","Rafhan Strawberry Jelly 80g","Rafhan Strawberry Jelly 80g","8961014008487","","0","","","",""
"Category 4","Laziza Kheer Mix STDRD 155g","Laziza Kheer Mix STDRD 155g","5028217000991","","0","","","",""
"Category 4","National Banana Jelly 80g","National Banana Jelly 80g","620514002637","","0","","","",""
"Category 4","National Strawberry CSTRD 300g","National Strawberry CSTRD 300g","620514004761","","0","","","",""
"Category 4","Mehran Sheer Khurma 155g","Mehran Sheer Khurma 155g","22231970","","0","","","",""
"Category 4","Rafhan Vanila Custrad 120g","Rafhan Vanila Custrad 120g","8961014008371","","0","","","",""
"Category 4","Rafhan Strwbry Custard 120g","Rafhan Strwbry Custard 120g","8961014008388","","0","","","",""
"Category 4","Lays Masala 168g","Lays Masala 168g","8964000090428","","0","","","",""
"Category 4","Lahori Mixture 100g","Lahori Mixture 100g","5060061732048","","0","","","",""
"Category 4","Nimko Mix 100g","Nimko Mix 100g","5060061732017","","0","","","",""
"Category 4","Nimko Shahi Mix 100g","Nimko Shahi Mix 100g","5060061732062","","0","","","",""
"Category 4","Chewra Mix 50g","Chewra Mix 50g","5060061732857","","0","","","",""
"Category 4","Khata Metha 50g","Khata Metha 50g","5060061733168","","0","","","",""
"Category 4","Kurleez French Cheese 61g","Kurleez French Cheese 61g","8964001072447","","0","","","",""
"Category 4","Oye Hoye Chips Tomato 29g","Oye Hoye Chips Tomato 29g","8961101340155","","0","","","",""
"Category 4","Oye Hoye Masala JMBO 45g","Oye Hoye Masala JMBO 45g","8961101340193","","0","","","",""
"Category 4","Oye Hoye Chips S&P 45g","Oye Hoye Chips S&P 45g","8961101340230","","0","","","",""
"Category 4","Oye Hoye Chips Masala 72g","Oye Hoye Chips Masala 72g","8961101340254","","0","","","",""
"Category 4","Oye Hoye Green Chaska 45g","Oye Hoye Green Chaska 45g","8961101340926","","0","","","",""
"Category 4","Slanty Salt 33g","Slanty Salt 33g","671866116664","","0","","","",""
"Category 4","Kurleez Snacks Lemon 24P","Kurleez Snacks Lemon 24P","8964001072461","","0","","","",""
"Category 4","Super Crisp BBQ 75g","Super Crisp BBQ 75g","8964000585252","","0","","","",""
"Category 4","Super Crisp Nimko Mix 81g","Super Crisp Nimko Mix 81g","8964000585313","","0","","","",""
"Category 4","Supr CRSP Catty Ching 61g","Supr CRSP Catty Ching 61g","8964000585283","","0","","","",""
